,Serial Number,State_RTC,Route Link,Route Name,Boarding_point,Destination
45,46,APSRTC,https://www.redbus.in/bus-tickets/kurnool-to-bangalore,Kurnool to Bangalore,Kurnool,Bangalore
46,47,APSRTC,https://www.redbus.in/bus-tickets/tirupathi-to-chennai,Tirupati to Chennai,Tirupati,Chennai
47,48,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur,Hyderabad to Anantapur (andhra pradesh),Hyderabad,Anantapur (andhra pradesh)
48,49,APSRTC,https://www.redbus.in/bus-tickets/ananthapur-to-hyderabad,Anantapur (andhra pradesh) to Hyderabad,Anantapur (andhra pradesh),Hyderabad
49,50,TSRTC,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Khammam,Hyderabad
50,51,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Hyderabad,Vijayawada
51,52,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam,Hyderabad,Khammam
52,53,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam,Hyderabad to Srisailam,Hyderabad,Srisailam
53,54,TSRTC,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad,Karimnagar,Hyderabad
54,55,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal,Hyderabad to Nirmal,Hyderabad,Nirmal
55,56,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial,Hyderabad,Mancherial
56,57,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad,Hyderabad to Adilabad,Hyderabad,Adilabad
57,58,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar,Hyderabad,Karimnagar
58,59,TSRTC,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad,Kothagudem to Hyderabad,Kothagudem,Hyderabad
59,60,APSRTC,https://www.redbus.in/bus-tickets/guntur-to-hyderabad,Guntur (Andhra Pradesh) to Hyderabad,Guntur (Andhra Pradesh),Hyderabad
60,61,TSRTC,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Godavarikhani to Hyderabad,Godavarikhani,Hyderabad
61,62,TSRTC,https://www.redbus.in/bus-tickets/kodad-to-hyderabad,Kodad to Hyderabad,Kodad,Hyderabad
62,63,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam,Hyderabad to Bhadrachalam,Hyderabad,Bhadrachalam
63,64,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,Hyderabad to Kothagudem,Hyderabad,Kothagudem
64,65,TSRTC,https://www.redbus.in/bus-tickets/jagityal-to-hyderabad,Jagityal to Hyderabad,Jagityal,Hyderabad
65,66,APSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool,Hyderabad to Kurnool,Hyderabad,Kurnool
66,67,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-sathupalli,Hyderabad to Sathupally,Hyderabad,Sathupally
67,68,TSRTC,https://www.redbus.in/bus-tickets/hyderabad-to-armoor,Hyderabad to Armoor,Hyderabad,Armoor
